latin,norsk,svensk,status,count
Pagophila eburnea,ismåke,ismås,,3470
Egretta garzetta,silkehegre,silkeshäger,,3392
Emberiza pusilla,dvergspurv,dvärgsparv,VU,3272
Cygnus columbianus,dvergsvane,mindre sångsvan,,3128
Puffinus puffinus,havlire,mindre lira,,2898
Gallinago media,dobbeltbekkasin,dubbelbeckasin,NT,2866
Melanitta perspicillata,brilleand,vitnackad svärta,,2849
Streptopelia turtur,turteldue,turturduva,,2846
Ardenna grisea,grålire,grålira,,2766
Poecile cinctus,lappmeis,lappmes,,2764
Ficedula parva,dvergfluesnapper,mindre flugsnappare,,2642
Anser caerulescens,snøgås,snögås,LO,2585
Milvus milvus,rødglente,röd glada,,2591
Circus macrourus,steppehauk,stäpphök,,2386
Anas carolinensis,amerikakrikkand,amerikansk kricka,,2177
Anser erythropus,dverggås,fjällgås,CR,2112
Pastor roseus,rosenstær,rosenstare,,2074
Upupa epops,hærfugl,härfågel,,2069
Calidris melanotos,alaskasnipe,tuvsnäppa,,2056
Locustella fluviatilis,elvesanger,flodsångare,,1981
Ichthyaetus melanocephalus,svartehavsmåke,svarthuvad mås,,1944
Aythya collaris,ringand,ringand,,1886
Ciconia ciconia,stork,vit stork,,1855
Tadorna ferruginea,rustand,rostand,,1666
Acrocephalus arundinaceus,trostesanger,trastsångare,,1620
Regulus ignicapilla,rødtoppfuglekonge,brandkronad kungsfågel,,1586
Recurvirostra avosetta,avosett,skärfläcka,,1560
Mareca americana,amerikablesand,amerikansk bläsand,,1555
Chlidonias niger,svartterne,svarttärna,,1415
Phylloscopus borealis,lappsanger,nordsångare,EN,1378
Larus delawarensis,ringnebbmåke,ringnäbbad mås,,1370
Motacilla citreola,sitronerle,citronärla,,1351
Larus cachinnans,kaspimåke,kaspisk trut,,1341
Xema sabini,sabinemåke,tärnmås,,1259
Emberiza hortulana,hortulan,ortolansparv,CR,1160
Milvus migrans,svartglente,brun glada,,1131
Botaurus stellaris,rørdrum,rördrom,,1130
Anthus spinoletta,vannpiplerke,vattenpiplärka,,1106
Calandrella brachydactyla,dverglerke,korttålärka,,1097
Anthus hodgsoni,sibirpiplerke,sibirisk piplärka,,1016
Hydroprogne caspia,rovterne,skräntärna,,999
