latin,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
Locustella fluviatilis,0,0,0,0,265,1459,243,11,3,0,0,0
Ichthyaetus melanocephalus,44,45,28,368,336,312,80,204,214,171,93,49
Aythya collaris,92,164,181,364,476,71,4,17,80,155,166,116
Ciconia ciconia,32,37,107,612,479,160,58,104,94,143,18,11
Tadorna ferruginea,51,50,49,107,368,134,283,282,173,63,64,42
Acrocephalus arundinaceus,0,0,0,0,448,1088,53,6,20,3,2,0
Regulus ignicapilla,139,60,67,206,157,62,55,0,34,217,453,136
Recurvirostra avosetta,0,5,156,499,626,180,32,35,22,2,1,2
Mareca americana,152,121,167,148,257,324,86,3,3,104,127,63
Chlidonias niger,0,0,0,6,379,314,137,335,191,30,23,0
Phylloscopus borealis,0,0,0,0,1,997,230,61,75,13,1,0
Larus delawarensis,190,202,312,180,51,102,60,49,28,64,44,88
Motacilla citreola,0,0,0,21,315,79,121,176,404,129,59,47
Larus cachinnans,224,377,260,92,63,0,24,89,32,50,42,88
Xema sabini,5,0,1,2,19,132,260,218,301,241,69,11
Emberiza hortulana,0,0,0,39,612,132,25,144,173,27,8,0
Milvus migrans,7,2,7,127,349,162,66,110,222,27,30,22
Botaurus stellaris,194,146,98,161,228,157,39,14,22,7,16,48
Anthus spinoletta,386,179,85,12,0,0,0,0,0,25,210,209
Calandrella brachydactyla,0,0,10,101,301,70,44,106,131,225,108,1
Anthus hodgsoni,0,0,0,0,1,4,0,0,451,537,23,0
Hydroprogne caspia,0,0,0,9,216,348,299,120,5,2,0,0
Oriolus oriolus,0,0,0,4,394,455,42,12,37,22,1,0
Branta ruficollis,59,34,129,215,116,151,15,108,108,17,8,0
Locustella luscinioides,0,0,0,20,548,336,63,7,4,6,0,0
Bubulcus ibis,1,0,76,230,43,45,0,1,49,255,173,38
Sternula albifrons,0,0,0,1,295,324,164,73,12,6,0,0
Falco vespertinus,0,0,0,79,360,144,8,60,275,28,0,0
Turdus atrogularis,214,204,145,38,0,0,0,0,0,46,61,105
Netta rufina,1,8,0,221,157,49,46,176,34,74,39,1
Streptopelia orientalis,219,108,57,36,6,0,1,3,1,95,106,160
Saxicola maurus,0,0,0,16,20,11,14,2,128,404,164,9
Emberiza leucocephalos,267,200,113,20,1,0,0,0,0,14,74,33
Bubo bubo,0,0,0,0,0,0,0,0,157,234,164,163
Strix nebulosa,155,99,6,10,5,2,1,2,61,105,104,158
Platalea leucorodia,0,0,28,9,202,391,2,1,22,60,17,0
Chlidonias leucopterus,0,0,0,0,242,213,80,125,14,0,0,0
Perdix perdix,52,23,53,86,91,60,52,42,46,81,40,32
Emberiza calandra,16,1,9,39,292,184,72,21,2,15,0,7
Podiceps nigricollis,23,19,100,119,154,41,52,15,31,41,33,20
Serinus serinus,0,0,0,40,334,175,67,4,7,4,3,0
Alopochen aegyptiaca,31,29,103,193,93,22,39,17,10,4,65,25
Oenanthe deserti,13,0,52,0,1,0,0,0,0,56,416,88
Phylloscopus proregulus,0,0,0,0,0,0,0,0,7,498,103,0
Emberiza rustica,0,0,2,46,184,54,10,89,107,111,0,0
Oceanodroma leucorhoa,9,1,0,1,1,43,157,157,79,72,44,32
Merops apiaster,0,0,0,5,230,146,51,29,12,119,2,0
Lanius senator,0,0,0,0,131,66,1,75,114,105,71,0
Larus michahellis,30,22,65,120,65,39,58,38,26,42,33,9
Circus pygargus,0,0,0,22,423,71,6,11,12,0,0,0
Calidris subruficollis,0,0,0,0,52,36,55,140,215,39,2,0
Sibirionetta formosa,0,43,2,318,145,5,0,1,0,25,0,2
Melanitta stejnegeri,0,0,238,73,82,23,90,8,1,0,0,0
Tarsiger cyanurus,0,0,0,2,4,61,25,4,82,328,7,0
Phylloscopus trochiloides,0,0,0,0,114,188,55,75,54,0,0,0
Tringa flavipes,0,0,0,3,239,166,35,7,1,26,4,0
Rhodostethia rosea,19,18,5,3,245,105,13,29,4,2,5,30
Phylloscopus fuscatus,0,0,0,0,0,0,0,0,20,308,143,0
Larus smithsonianus,71,185,134,59,0,0,0,0,0,0,0,18
Phylloscopus humei,0,0,0,0,0,0,0,0,7,129,233,98
Calidris fuscicollis,0,0,0,0,0,42,221,164,14,7,3,0
Lanius minor,0,0,0,0,13,52,93,103,73,105,6,0
Burhinus oedicnemus,0,0,0,105,177,100,11,38,9,0,0,0
Pluvialis fulva,0,0,0,0,8,234,124,29,13,20,0,1
Gavia pacifica,17,33,101,113,120,1,20,0,0,0,0,10
Podilymbus podiceps,0,0,7,49,45,50,88,70,23,35,14,2
Chroicocephalus philadelphia,38,4,26,36,70,78,54,23,0,10,20,48
Oenanthe pleschanka,0,0,0,0,1,21,29,0,0,163,165,1
Luscinia megarhynchos,0,0,0,18,151,157,1,11,8,34,0,0
Cairina moschata,31,29,30,28,33,14,22,22,25,55,31,23
