norsk,latin,status,count
Taigafluesnapper,Ficedula albicilla,,33
Hvitkronespurv,Zonotrichia leucophrys,,31
Brakksvale,Glareola pratincola,,30
Rustspurv,Emberiza caesia,,29
Spottesanger,Hippolais polyglotta,,29
Rødbrystspurv,Emberiza buchanani,,29
Viriskogtrost,Catharus fuscescens,,27
Brunhodespurv,Emberiza bruniceps,,27
Bruntrost,Turdus naumanni,,27
Hvitkinnand,Anas bahamensis,LO,24
Berghøne,Alectoris chukar,LO,23
Sultansanger,Sylvia crassirostris,,22
Amerikasandlo,Charadrius semipalmatus,,21
Ovnparula,Seiurus aurocapilla,,21
Munkegribb,Aegypius monachus,,21
Krattspurv,Emberiza pallasi,,20
Furusanger,Phylloscopus orientalis,,19
Musespurv,Passerculus sandwichensis,,19
Kaneland,Spatula cyanoptera,LO,19
Svanegås,Anser cygnoides,LO,17
Slangeørn,Circaetus gallicus,,16
Chileflamingo,Phoenicopterus chilensis,,16
Rosenbrysttykknebb,Pheucticus ludovicianus,,16
Klippesvale,Ptyonoprogne rupestris,,15
Raudbrystlo,Charadrius asiaticus,,14
Sibirtrost,Geokichla sibirica,,14
Hvitpelikan,Pelecanus onocrotalus,,13
Præriesnipe,Bartramia longicauda,,13
Lundtrupial,Icterus galbula,,13
Nordgulstrupe,Geothlypis trichas,,13
Gullfasan,Chrysolophus pictus,,13
Mongollo,Charadrius mongolus,,13
Engvaktel,Coturnix japonica,HI,12
Blåkinnbieter,Merops persicus,,12
Einersanger,Phylloscopus nitidus,,12
Mellomspett,Dendrocoptes medius,,11
Japanstormsvale,Oceanodroma monorhis,,10
Kastanjespurv,Emberiza rutila,,10
Tundraspove,Numenius hudsonicus,,10
Nymfekakadu,Nymphicus hollandicus,,9
Oreempid,Empidonax alnorum,,9
Myrteparula,Setophaga coronata,,9
Tobeltelo,Charadrius vociferus,,8
Gråstrupetrost,Turdus obscurus,,8
Skjæregjøk,Clamator glandarius,,8
Brilleærfugl,Somateria fischeri,,8
Lazulispurv,Passerina amoena,,8
Indiapåfugl,Pavo cristatus,,8
Indigospurv,Passerina cyanea,,7
Ospesanger,Phylloscopus plumbeitarsus,,7
Punersteinskvett,Oenanthe hispanica,,7
Klatreparula,Mniotilta varia,,6
Dverghornugle,Otus scops,,6
Keisergås,Anser canagicus,LO,6
Tristanalbatross,Thalassarche chlororhynchos,,5
Steintrost,Monticola saxatilis,,5
Møllparula,Leiothlypis peregrina,,5
Rødhøne,Alectoris rufa,NK,4
Tartarfalk,Falco cherrug,LO,4
Hvitørebylbyl,Pycnonotus leucotis,,4
Gråkjernebiter,Eophona personata,,4
Gulbrynkjernebiter,Hesperiphona vespertina,,4
Nordkrattvaktel,Colinus virginianus,,4
Vinhegre,Ardeola bacchus,,3
Dvergflamingo,Phoeniconaias minor,,3
Svartvingespove,Limosa haemastica,,3
Kalkunkondor,Cathartes aura,,3
Brunhodetrupial,Molothrus ater,,3
Kardinal,Cardinalis cardinalis,,3
Hvitstrupenattergal,Irania gutturalis,,3
Pavespurv,Passerina ciris,,3
Middelhavsspurv,Passer hispaniolensis,,3
