id,lokalitet,hovedlokalitet,kommune,fylke,lat,lon,count,observers,radius,geometry,public,mine,super
2089304,Lassorholmen,,Gotland,,57.985375,19.210203,0,0,130,,1,0,1
2089305,Dämba,,Gotland,,57.874013,19.128348,0,0,130,,1,0,1
2089360,Stormyr,Gammelgarn,Gotland,,57.398976,18.795020,0,0,54,,1,0,0
2089363,Sjösakärrens naturreservat,,Nyköping,,58.742830,17.125204,0,0,400,,1,0,1
2089425,Ekdalen,Rimbo,Norrtälje,,59.757081,18.349581,0,0,206,,1,0,0
2089432,Krakvät,,Gotland,,57.156103,18.182324,0,0,130,,1,0,1
2089433,Sävvät,,Gotland,,57.159850,18.187722,0,0,130,,1,0,1
2089440,Rumpholmen,Tyresö skärgård,Tyresö,,59.234326,18.414592,0,0,227,,1,0,0
2089443,"Slåtte, Alsen",,Krokom,,63.390471,13.873015,0,0,500,,1,0,1
2089444,Ekeby,Rimbo,Norrtälje,,59.765210,18.334157,0,0,1036,,1,0,0
2089445,Berga,Erken,Norrtälje,,59.810947,18.599106,0,0,486,,1,0,0
2089446,Övernäs,Roslags-Bro,Norrtälje,,59.843338,18.753670,0,0,314,,1,0,0
2089447,"Norasjön, Estuna/Söderby-Karl",,Norrtälje,,59.840801,18.677628,0,0,350,,1,0,1
2089448,Nora,Estuna,Norrtälje,,59.838062,18.686638,0,0,229,,1,0,0
2089449,Karby,Estuna,Norrtälje,,59.806601,18.622202,0,0,359,,1,0,0
2089450,Ladugårdsgärdet,Södra Djurgården,Stockholm,,59.338953,18.109246,0,0,206,,1,0,0
2089456,Stora Karinbol,Husby-Långhundra,Knivsta,,59.805670,18.028128,0,0,611,,1,0,0
2089468,Brobäckens mynning,Broängarna,Upplands-Bro,,59.492413,17.647404,0,0,7,,1,0,0
2089469,Ramsmoraön,Bocköreservatet,Värmdö,,59.366254,18.954156,0,0,553,,1,0,0
2089472,Bruket,Blidö,Norrtälje,,59.610200,18.874745,0,0,606,,1,0,0
2089474,Linkudden,Blidö,Norrtälje,,59.581254,18.882237,0,0,323,,1,0,0
2089519,Lundagårdsvägen 48,Spånga,Stockholm,,59.385578,17.886239,0,0,122,,1,0,0
2089568,Slottsparken,Visby innerstad,Gotland,,57.637202,18.289564,0,0,25,,1,0,0
2089570,Askrike golfbana,Bogesundslandet,Vaxholm,,59.389563,18.247685,0,0,831,,1,0,0
2089571,Hultedammen,,Gotland,,57.219770,18.394263,0,0,130,,1,0,1
2089572,Stale,,Gotland,,57.217761,18.498836,0,0,130,,1,0,1
2089573,Södervärn,Visby,Gotland,,57.624722,18.289349,0,0,201,,1,0,0
2089616,Rialamalmen,Riala,Norrtälje,,59.640802,18.490571,0,0,460,,1,0,0
2089617,Skälby Blomster-Centrum,"Barkarby, Järfälla",Järfälla,,59.399089,17.862164,0,0,148,,1,0,0
2089658,"Blektjärns naturreservat, Revsund",,Bräcke,,62.850141,15.371881,0,0,470,,1,0,1
2089662,Gäddsjön,Edsbro,Norrtälje,,59.819772,18.436852,0,0,625,,1,0,0
2089673,Mjölsta,"Skedviken med omgivning, Fasterna",Norrtälje,,59.794495,18.268876,0,0,237,,1,0,0
2089681,Edegrundet,Hybo,Ljusdal,,61.779849,16.159848,0,0,1469,,1,0,0
2089727,EBC  Kåbo,Uppsala,Uppsala,,59.848942,17.622970,0,0,61,,1,0,0
2089728,Branden,Tofta skjutfält,Gotland,,57.556695,18.149580,0,0,500,,1,0,0
2089746,Norrgatt,Visby,Gotland,,57.644673,18.305752,0,0,51,,1,0,0
2089785,Yttre Karvasen,Landsort,Nynäshamn,,58.704653,17.989105,0,0,1168,,1,0,0
2089786,Inre Karvasen,Landsort,Nynäshamn,,58.715043,17.952193,0,0,1168,,1,0,0
2089808,Övre Gällringen,,Gnesta,,59.134627,17.002836,0,0,1740,,1,0,1
2089809,Nedre Gällringen,,Gnesta,,59.109658,17.041068,0,0,750,,1,0,1
2089859,"Hornafjärden, Båven",,Nyköping,,59.020356,17.026830,0,0,2415,,1,0,1
2089869,Storhaga - Sunnanås  Ljusdal,,Ljusdal,,61.811169,16.070699,0,0,260,,1,0,1
2089878,Gasverket,Hjorthagen,Stockholm,,59.359300,18.095600,0,0,152,,1,0,0
2089919,Östra Ormsjö,,Dorotea,,64.394408,16.072154,0,0,3110,,1,0,1
2089921,Nappsjö,,Dorotea,,64.307669,16.227563,0,0,320,,1,0,1
2089923,Lövstrand,,Dorotea,,64.393057,16.001106,0,0,1398,,1,0,1
2089925,Bellvik,,Dorotea,,64.277708,16.113692,0,0,1784,,1,0,1
2089928,Fågelby,,Dorotea,,64.262791,16.224625,0,0,320,,1,0,1
2089929,Fågelsta,,Dorotea,,64.232773,16.303785,0,0,320,,1,0,1
2089930,Hökberget,Dorotea,Dorotea,,64.277178,16.431471,0,0,705,,1,0,0
2089931,Sagatun,,Dorotea,,64.473067,16.379387,0,0,4448,,1,0,1
2089932,Djupdal,,Vilhelmina,,64.555105,16.364097,0,0,4001,,1,0,1
2089959,Blåkulla,Haninge,Haninge,,59.116469,18.124050,0,0,1056,,1,0,0
2089967,Brinkvägen 6,Huddinge,Huddinge,,59.231275,17.974921,0,0,62,,1,0,0
2089974,Flemingsbergsskogen,,Huddinge,,59.202439,17.975001,0,0,2043,,1,0,1
2089975,Fredriksdal,Grödinge,Botkyrka,,59.159868,17.843560,0,0,344,,1,0,0
2089976,Gåsholmen,Södra Björkfjärden,Ekerö,,59.319285,17.525431,0,0,110,,1,0,0
2089993,Rångstra  Ljusdal,,Ljusdal,,61.847650,16.005427,0,0,260,,1,0,1
2090019,Labro fågeltorn,Labro ängar,Nyköping,,58.757421,17.089370,0,0,100,,1,0,0
2090020,Tvären-området,,Nyköping,,58.772919,17.416995,0,0,200,,1,0,1
2090024,Veckebo,Korskrogen,Ljusdal,,61.809697,15.728423,0,0,48,,1,0,0
2090025,Ygssjön,,Ljusdal,,61.788985,15.926690,0,0,260,,1,0,1
2090026,Hammersta,,Gnesta,,59.133820,17.192398,0,0,200,,1,0,1
2090027,Lilla Ullfjärden  Upplands-Bro,,Upplands-Bro,,59.590736,17.528772,0,0,2279,,1,0,1
2090032,Bergby viltvatten,Malsta,Norrtälje,,59.763573,18.603283,0,0,843,,1,0,0
2090039,Davik,Aspa,Nyköping,,58.922871,17.118997,0,0,184,,1,0,0
2090040,Svartsö,Svartsö skärgård,Värmdö,,59.452578,18.691534,0,0,198,,1,0,0
