latin,norsk,svensk,status,count
Alectoris rufa,rødhøne,rödhöna,LO,335
Gavia pacifica,amerikastorlom,stillahavslom,,327
Neophron percnopterus,åtselgribb,smutsgam,,313
Anser cygnoides,svanegås,svangås,LO,309
Calidris minutilla,pygmésnipe,dvärgsnäppa,,294
Calidris mauri,beringsnipe,tundrasnäppa,,289
Clamator glandarius,skjæregjøk,skatgök,,284
Melanocorypha calandra,kalanderlerke,kalanderlärka,,280
Melanocorypha bimaculata,fjellkalanderlerke,asiatisk kalanderlärka,,265
Otus scops,dverghornugle,dvärguv,,264
Bartramia longicauda,præriesnipe,piparsnäppa,,256
Aquila fasciata,haukørn,hökörn,,250
Anser canagicus,keisergås,kejsargås,LO,239
Merops nubicus,karminbieter,nordlig karminbiätare,,239
Apus pacificus,gaffelseiler,orientseglare,,238
Acrocephalus paludicola,vannsanger,vattensångare,,238
Pyrrhocorax graculus,alpekaie,alpkaja,,222
Bucanetes mongolicus,steinfink,mongolfink,,195
Ichthyaetus ichthyaetus,steppemåke,svarthuvad trut,,195
Catharus ustulatus,brunkinnskogtrost,beigekindad skogstrast,,187
Leucophaeus atricilla,lattermåke,sotvingad mås,,187
Phoenicopterus roseus,rosenflamingo,större flamingo,,187
Phylloscopus plumbeitarsus,ospesanger,sibirisk lundsångare,,181
Monticola saxatilis,steintrost,stentrast,,170
Turdus naumanni,rødflekktrost,rödtrast,,169
Bucephala albeola,bøffeland,buffelhuvud,NK,158
Sula leucogaster,brunsule,brunsula,,145
Anas bahamensis,hvitkinnand,bahamaand,LO,144
Cisticola juncidis,cistussanger,grässångare,,142
Emberiza cineracea,tyrkerspurv,gulgrå sparv,,142
Cyanistes cyanus,asurmeis,azurmes,,141
Tachymarptis melba,alpeseiler,alpseglare,,139
Falco cherrug,tartarfalk,tatarfalk,LO,139
Onychoprion anaethetus,tøyleterne,tygeltärna,,139
Emberiza cia,klippespurv,klippsparv,,130
Syrmaticus reevesii,kongefasan,kungsfasan,,128
Falco amurensis,amurfalk,amurfalk,,124
Lanius cristatus,brunvarsler,brun törnskata,,122
Merops persicus,blåkinnbieter,grön biätare,,122
Falco eleonorae,eleonorafalk,eleonorafalk,,118
Phoenicopterus chilensis,chileflamingo,chileflamingo,,116
Mareca sibilatrix,sørblesand,chilebläsand,LO,115
Spatula cyanoptera,kaneland,kanelårta,LO,115
Porzana carolina,maskerikse,karolinasumphöna,,114
Chroicocephalus genei,smalnebbmåke,långnäbbad mås,,105
Irania gutturalis,hvitstrupenattergal,vitstrupig näktergal,,104
Phylloscopus nitidus,einersanger,kaukasisk lundsångare,,100
Iduna rama,ramasanger,saxaulsångare,,97
Turdus obscurus,gråstrupetrost,gråhalsad trast,,94
Alectoris chukar,berghøne,berghöna,LO,88
Chaetura pelagica,skorsteinsseiler,skorstenseglare,,86
Pelecanus rufescens,rosenpelikan,rosaryggig pelikan,,85
Threskiornis aethiopicus,helligibis,helig ibis,HI,84
Haliaeetus pelagicus,kjempehavørn,jättehavsörn,,80
Leucophaeus pipixcan,franklinmåke,präriemås,,80
Emberiza pallasi,krattspurv,dvärgsävsparv,,78
Anas flavirostris,gulnebbkrikkand,gulnäbbad kricka,LO,69
Caracara plancus,gribbkarakara,tofskarakara,,68
Passer hispaniolensis,middelhavsspurv,spansk sparv,,63
Melospiza melodia,sangspurv,sångsparv,,60
Tadorna tadornoides,praktrustand,australisk gravand,LO,56
Carpodacus sibiricus,langhalefink,långstjärtad rosenfink,,46
Tadorna variegata,maorirustand,paradisgravand,NK,45
Calidris subminuta,langtåsnipe,långtåsnäppa,,43
Phoenicurus fuliginosus,blyrødstjert,forsrödstjärt,,37
Junco hyemalis,vinterjunko,mörkögd junco,,37
Hirundapus caudacutus,pigghaleseiler,taggstjärtseglare,,36
Syrrhaptes paradoxus,steppehøne,stäppflyghöna,,35
Cecropis daurica,tempelsvale,rostgumpsvala,,35
Melanocorypha yeltoniensis,svartlerke,svartlärka,,32
Tringa solitaria,eremittsnipe,amerikansk skogssnäppa,,31
Zoothera aurea,gulltrost,guldtrast,,31
Acridotheres tristis,hyrdestær,brun majna,LO,30
Apus caffer,hvitgumpseiler,vitgumpseglare,,29
Lanius borealis,borealvarsler,beringvarfågel,,25
Lanius nubicus,hvitpannevarsler,masktörnskata,,25
Pelecanus onocrotalus,hvitpelikan,vit pelikan,,25
Gypaetus barbatus,lammegribb,lammgam,,24
Emberiza elegans,gulstrupespurv,praktsparv,,24
Falco biarmicus,slagfalk,slagfalk,LO,23
Limnodromus griseus,kortnebbekkasinsnipe,mindre beckasinsnäppa,,22
Phoeniconaias minor,dvergflamingo,mindre flamingo,,22
Monticola solitarius,blåtrost,blåtrast,,21
Otis tarda,stortrappe,stortrapp,RE,19
Chrysolophus amherstiae,diamantfasan,diamantfasan,,18
Chlamydotis macqueenii,steppetrappe,kragtrapp,,17
Chrysolophus pictus,gullfasan,guldfasan,,16
Calidris pusilla,sandsnipe,sandsnäppa,,16
Acrocephalus melanopogon,tamarisksanger,kaveldunsångare,,15
Myiopsitta monachus,munkeparakitt,munkparakit,LO,15
Coturnix japonica,engvaktel,japansk vaktel,LO,14
